{'device_time_stamp': 463874918, 'system_time_stamp': 7739612578, 'left_gaze_point_on_display_area': (nan, nan), 'left_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'left_gaze_point_validity': 0, 'left_pupil_diameter': nan, 'left_pupil_validity': 0, 'left_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'left_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'left_gaze_origin_validity': 0, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
{'device_time_stamp': 463966729, 'system_time_stamp': 7739704387, 'left_gaze_point_on_display_area': (0.5828985571861267, 1.0500520467758179), 'left_gaze_point_in_user_coordinate_system': (53.110111236572266, -7.782012939453125, -13.474248886108398), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 4.0756988525390625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-3.3695502281188965, 87.11093139648438, 539.384033203125), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5122991800308228, 0.2729033827781677, 0.22822770476341248), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.5913571715354919, 1.0092025995254517), 'right_gaze_point_in_user_coordinate_system': (58.193870544433594, 5.195132732391357, -8.75087833404541), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 4.3915252685546875, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (60.22981643676758, 84.8797836303711, 534.9985961914062), 'right_gaze_origin_in_trackbox_coordinate_system': (0.3476543426513672, 0.2761715054512024, 0.22511543333530426), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 463975054, 'system_time_stamp': 7739712715, 'left_gaze_point_on_display_area': (0.5676642060279846, 1.0519649982452393), 'left_gaze_point_in_user_coordinate_system': (43.95405578613281, -8.38978385925293, -13.695369720458984), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 4.07818603515625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-3.5321316719055176, 86.98192596435547, 539.462158203125), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5127130150794983, 0.27326276898384094, 0.2283477783203125), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.5563033819198608, 1.0037897825241089), 'right_gaze_point_in_user_coordinate_system': (37.126014709472656, 6.914681434631348, -8.124992370605469), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 4.387725830078125, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (60.110382080078125, 84.85267639160156, 535.5233764648438), 'right_gaze_origin_in_trackbox_coordinate_system': (0.3481369912624359, 0.2764725685119629, 0.22619403898715973), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 463983387, 'system_time_stamp': 7739721052, 'left_gaze_point_on_display_area': (nan, nan), 'left_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'left_gaze_point_validity': 0, 'left_pupil_diameter': nan, 'left_pupil_validity': 0, 'left_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'left_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'left_gaze_origin_validity': 0, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
{'device_time_stamp': 463991721, 'system_time_stamp': 7739729390, 'left_gaze_point_on_display_area': (nan, nan), 'left_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'left_gaze_point_validity': 0, 'left_pupil_diameter': nan, 'left_pupil_validity': 0, 'left_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'left_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'left_gaze_origin_validity': 0, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
{'device_time_stamp': 464000054, 'system_time_stamp': 7739737722, 'left_gaze_point_on_display_area': (nan, nan), 'left_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'left_gaze_point_validity': 0, 'left_pupil_diameter': nan, 'left_pupil_validity': 0, 'left_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'left_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'left_gaze_origin_validity': 0, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
{'device_time_stamp': 464008387, 'system_time_stamp': 7739746054, 'left_gaze_point_on_display_area': (nan, nan), 'left_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'left_gaze_point_validity': 0, 'left_pupil_diameter': nan, 'left_pupil_validity': 0, 'left_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'left_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'left_gaze_origin_validity': 0, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
{'device_time_stamp': 464016722, 'system_time_stamp': 7739754388, 'left_gaze_point_on_display_area': (0.5741875171661377, 1.0613994598388672), 'left_gaze_point_in_user_coordinate_system': (47.87467575073242, -11.386932373046875, -14.786235809326172), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 4.10357666015625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-3.6110241413116455, 86.85260772705078, 539.6865234375), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5129086375236511, 0.27368754148483276, 0.22877953946590424), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.5612384080886841, 1.0197443962097168), 'right_gaze_point_in_user_coordinate_system': (40.0920295715332, 1.8461861610412598, -9.969854354858398), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 4.3798980712890625, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (60.0725212097168, 84.71858215332031, 535.5025634765625), 'right_gaze_origin_in_trackbox_coordinate_system': (0.34822580218315125, 0.27680066227912903, 0.226090669631958), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 464025055, 'system_time_stamp': 7739762720, 'left_gaze_point_on_display_area': (nan, nan), 'left_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'left_gaze_point_validity': 0, 'left_pupil_diameter': nan, 'left_pupil_validity': 0, 'left_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'left_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'left_gaze_origin_validity': 0, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
{'device_time_stamp': 464033388, 'system_time_stamp': 7739771052, 'left_gaze_point_on_display_area': (0.572658121585846, 1.0545504093170166), 'left_gaze_point_in_user_coordinate_system': (46.95548629760742, -9.211095809936523, -13.994336128234863), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 4.09033203125, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-3.6420345306396484, 86.9122543334961, 539.7662353515625), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5129870772361755, 0.27357378602027893, 0.228973388671875), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.5611311793327332, 1.0251694917678833), 'right_gaze_point_in_user_coordinate_system': (40.02760314941406, 0.12274552136659622, -10.59714412689209), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 4.3724822998046875, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (60.038734436035156, 84.76187133789062, 535.4395751953125), 'right_gaze_origin_in_trackbox_coordinate_system': (0.3482927083969116, 0.27666425704956055, 0.22596475481987), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 464041722, 'system_time_stamp': 7739779385, 'left_gaze_point_on_display_area': (0.573703408241272, 1.0654652118682861), 'left_gaze_point_in_user_coordinate_system': (47.58369445800781, -12.678521156311035, -15.256335258483887), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 4.0750579833984375, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-3.6616530418395996, 86.99574279785156, 539.717041015625), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5130396485328674, 0.27334272861480713, 0.22890028357505798), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.5591140985488892, 1.0202313661575317), 'right_gaze_point_in_user_coordinate_system': (38.81528091430664, 1.6914652585983276, -10.026086807250977), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 4.3706817626953125, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (60.03372573852539, 84.84538269042969, 535.5076904296875), 'right_gaze_origin_in_trackbox_coordinate_system': (0.34832942485809326, 0.2764844298362732, 0.22613990306854248), 'right_gaze_origin_validity': 1}
