Timestamp,Name,Timing
3.686752700001307,電車.wav,Start
9.804533800001082,電車.wav,End
14.806705900000452,電車.wav,Start
20.91598260000137,電車.wav,End
3.7271687999982532,電車.wav,Start
9.847666699997717,電車.wav,End
14.849558299998534,電車.wav,Start
20.955873099997916,電車.wav,End
40.959312499997395,0280_2.wav,Start
47.06733119999808,0280_2.wav,End
52.0699289999975,0280_2.wav,Start
58.176085399998556,0280_2.wav,End
78.17931949999911,水の滴りと鳥2.wav,Start
84.28868039999907,水の滴りと鳥2.wav,End
89.29122400000051,水の滴りと鳥2.wav,Start
95.39848399999937,水の滴りと鳥2.wav,End
