Timestamp,Name,Timing
3.6095448000123724,都市.wav,Start
9.755619100003969,都市.wav,End
14.758912399993278,都市.wav,Start
20.86914369999431,都市.wav,End
30.87270940002054,電車.wav,Start
36.980896099994425,電車.wav,End
41.984206399996765,電車.wav,Start
48.08857880003052,電車.wav,End
58.094408000062685,0280_2.wav,Start
64.2087285000598,0280_2.wav,End
69.21351800003322,0280_2.wav,Start
75.31825060001574,0280_2.wav,End
85.3276580000529,0630_2.wav,Start
91.43229870003415,0630_2.wav,End
96.43620100006228,0630_2.wav,Start
102.54296820005402,0630_2.wav,End
112.55251730006421,ホワイトノイズ(不快).wav,Start
118.65988800005289,ホワイトノイズ(不快).wav,End
